date;year;tx;tn;rhx;rhn;rs;et0;station
2001-01-26;2001;13.2;6.086;96.7;81.8;3.373;0.7197659684918857;COR06
2001-01-27;2001;16.64;12.87;95.6;83.7;3.34;0.9332331710687644;COR06
2001-01-28;2001;14.55;9.98;94.7;41.94;9.58;1.869578617279572;COR06
2001-01-29;2001;16.22;5.884;82.9;35.73;13.47;1.606839500525538;COR06
2001-01-30;2001;15.75;0.918;98.3;47.46;13.3;0.9866138943604198;COR06
2001-01-31;2001;15.68;1.449;98.0;59.99;10.35;0.9527377562844686;COR06
2001-02-01;2001;14.28;5.884;97.9;76.8;5.505;0.7968390264259784;COR06
2001-02-02;2001;17.63;4.265;98.4;48.2;11.84;1.3963383122169708;COR06
2001-02-03;2001;16.69;3.469;98.0;53.94;12.67;1.1646088008251163;COR06
2001-02-04;2001;16.56;6.761;97.8;56.96;7.05;1.1439243986390115;COR06
2001-02-05;2001;16.37;10.46;98.0;78.2;2.061;0.6803433128322388;COR06
2001-02-06;2001;17.03;8.63;97.8;59.05;6.47;1.3311610324649588;COR06
2001-02-07;2001;15.43;8.3;93.4;43.83;3.523;1.9658046834879728;COR06
2001-02-08;2001;14.42;6.4910000000000005;95.2;58.73;7.96;1.2444276040990458;COR06
2001-02-09;2001;14.87;2.524;98.4;58.11;13.54;1.1802898878649888;COR06
2001-02-10;2001;18.77;10.66;92.3;62.95;11.37;1.50164856993056;COR06
2001-02-11;2001;24.28;7.5;96.6;42.31;14.62;1.8971398278161284;COR06
2001-02-12;2001;23.94;6.694;97.6;30.79;15.02;1.7835817568478347;COR06
2001-02-13;2001;20.38;5.9510000000000005;97.6;48.45;15.05;1.8044734057505727;COR06
2001-02-14;2001;16.83;9.92;96.0;55.63;6.494;1.4307310503855215;COR06
2001-02-15;2001;16.83;4.617;97.0;50.56;12.64;1.497835552948782;COR06
2001-02-16;2001;18.04;5.346;95.1;36.8;15.15;1.8979616451089405;COR06
2001-02-17;2001;19.24;3.807;94.2;39.63;15.53;1.8422844666101343;COR06
2001-02-18;2001;18.97;1.455;98.7;38.35;15.89;1.7621382144541409;COR06
2001-02-19;2001;17.43;7.5;90.4;37.21;15.45;2.4871213421726925;COR06
2001-02-20;2001;19.17;3.739;93.5;30.6;16.41;2.1029521787113983;COR06
2001-02-21;2001;21.05;2.862;95.4;32.55;16.62;2.121734625332796;COR06
2001-02-22;2001;22.2;3.402;95.3;22.51;15.41;2.0130835097565143;COR06
